total run time: 5.785[sec]
Qtot = 0.752646, DP = 1.53107, Gtot = 0.015, Atot = 11.543,
Input Temperature
26.8467,28.0128,31.5662,31.7339,
25.4926,28.8235,31.3783,31.8492,
23.9228,29.4883,31.1754,31.9374,
22.1066,30.0226,30.9635,31.996,
20.0106,30.4394,30.7497,32.0228,

Output Temperature
28.0128,28.8235,31.7339,31.8492,
26.8467,29.4883,31.5662,31.9374,
25.4926,30.0226,31.3783,31.996,
23.9228,30.4394,31.1754,32.0228,
22.1066,30.7497,30.9635,32.0161,

Input Pressure
101.975,101.895,101.225,101.153,
102.057,101.817,101.297,101.081,
102.143,101.741,101.37,101.009,
102.231,101.665,101.443,100.937,
102.325,101.591,101.517,100.865,

Output Pressure
101.895,101.817,101.153,101.081,
101.975,101.741,101.225,101.009,
102.057,101.665,101.297,100.937,
102.143,101.591,101.37,100.865,
102.231,101.517,101.443,100.794,

Air Input Temperature
35,33.6556,32.7209,32.5276,
35,33.4387,32.6723,32.4558,
35,33.1898,32.5738,32.3399,
35,32.9053,32.4248,32.1805,
35,32.5821,32.2244,31.978,

Air Output Temperature
33.6556,32.7209,32.5276,32.3946,
33.4387,32.6723,32.4558,32.3541,
33.1898,32.5738,32.3399,32.2724,
32.9053,32.4248,32.1805,32.1495,
32.5821,32.2244,31.978,31.9855,

Input Enthalpy
112.576,117.449,132.296,132.997,
106.917,120.837,131.511,133.479,
100.356,123.614,130.664,133.847,
92.7637,125.847,129.778,134.092,
84,127.588,128.885,134.204,

Output Enthalpy
117.449,120.837,132.997,133.479,
112.576,123.614,132.296,133.847,
106.917,125.847,131.511,134.092,
100.356,127.588,130.664,134.204,
92.7637,128.885,129.778,134.176,

Refrigerant flowrate
0.015,0.015,0.015,0.015,
0.015,0.015,0.015,0.015,
0.015,0.015,0.015,0.015,
0.015,0.015,0.015,0.015,
0.015,0.015,0.015,0.015,
